actor_id,position_code,tenure_start,tenure_end,notes
fra.1978.001,fra.min.educ.exc.01,12-10-25,,LeCornu I
fra.1965.001,fra.min.cltr.exc.01,11-01-24,,LeCornu I
fra.1973.001,fra.min.hlth.exc.01,12-10-25,,LeCornu I
fra.1957.001,fra.min.labr.exc.01,12-10-25,,LeCornu I
fra.1956.001,fra.min.resr.exc.01,12-10-25,,LeCornu I
fra.1956.002,fra.min.agrc.exc.01,21-09-24,,LeCornu I
fra.1984.001,fra.min.hous.exc.01,12-10-25,,LeCornu I
fra.1970.001,fra.min.infr.exc.01,23-12-25,,LeCornu I
fra.1972.001,fra.min.educ.trt.exc.01,12-10-25,,LeCornu I
fra.1980.001,fra.min.spec.ext.exc.01,12-10-25,,LeCornu I
fra.1973.002,fra.min.cltr.ath.exc.01,05-10-25,,LeCornu I
gbr.1962.001,gbr.hog,05-07-24,,
gbr.1969.001,gbr.min.forn.exc.01,05-09-25,,Starmer II
gbr.1980.001,gbr.min.gndm.exc.01,05-09-25,,Starmer II
gbr.1979.001,gbr.min.fisc.exc.01,05-07-24,,Starmer II
gbr.1960.001,gbr.min.dfns.exc.01,05-07-24,,Starmer II
gbr.1972.001,gbr.min.jstc.exc.01,05-09-25,,Starmer II
gbr.1983.001,gbr.min.hlth.exc.01,05-07-24,,Starmer II
gbr.1983.002,gbr.min.educ.exc.01,05-07-24,,Starmer II
gbr.1970.001,gbr.min.comc.exc.01,05-09-25,,Starmer II
gbr.1969.002,gbr.min.resr.exc.01,05-07-24,,Starmer II
gbr.1971.001,gbr.min.scnc.exc.01,05-09-25,,Starmer II
gbr.1977.001,gbr.min.agrc.exc.01,05-09-25,,Starmer II
gbr.1975.001,gbr.min.infr.exc.01,29-11-24,,Starmer II
gbr.1965.001,gbr.min.labr.exc.01,05-09-25,,Starmer II
gbr.1963.001,gbr.min.hous.exc.01,05-09-25,,Starmer II
gbr.1979.002,gbr.min.cltr.exc.01,05-07-24,,Starmer II
gbr.1953.001,gbr.min.spec.int.01.exc.01,05-07-24,,Starmer II
gbr.1967.001,gbr.min.spec.int.02.exc.01,05-09-25,,Starmer II
gbr.1966.001,gbr.min.spec.int.03.exc.01,05-07-24,,Starmer II
gbr.1986.001,gbr.hog.ops.exc.01,05-09-25,,Starmer II
gbr.1968.001,gbr.min.jst.exc.01.exc.01,05-07-24,,Starmer II
gbr.1957.001,gbr.hog.lh.exc.01.exc.01,05-09-25,,Starmer II
gbr.1959.001,gbr.hog.uh.exc.01.exc.01,05-07-24,,Starmer II
can.1965.001,can.hog,14-03-25,,
can.1972.001,can.min.forn.exc.01,13-05-25,,Carney I
can.1970.001,can.min.fisc.exc.01,14-03-25,,Carney I
can.1960.001,can.min.dfns.exc.01,13-05-25,,Carney I
can.1984.001,can.min.jstc.exc.01,13-05-25,,Carney I
can.1973.001,can.min.gndm.exc.01,13-05-25,,Carney I
can.1963.001,can.min.hlth.exc.01,13-05-25,,Carney I
can.1980.001,can.min.spec.int.01.exc.01,13-05-25,,Carney I
can.1986.001,can.min.spec.int.02.exc.01,13-05-25,,Carney I
can.1979.001,can.min.comc.exc.01,13-05-25,,Carney I
can.1976.001,can.min.agrc.exc.01,13-05-25,,Carney I
can.1966.001,can.min.infr.exc.01,16-09-25,,Carney I
can.1966.002,can.min.resr.eng.exc.01,13-05-25,,Carney I
can.1971.001,can.min.resr.env.exc.01,13-05-25,,Carney I
can.1966.003,can.min.labr.exc.01,13-05-25,,Carney I
can.1965.002,can.min.jstc.img.exc.01,13-05-25,,Carney I
can.1964.001,can.min.hous.exc.01,13-05-25,,Carney I
can.1979.002,can.min.dfns.vet.exc.01,13-05-25,,Carney I
can.1960.002,can.min.agrc.pec.exc.01,14-03-25,,Carney I
can.1984.002,can.min.trde.exc.01,13-05-25,,Carney I
can.1970.002,can.min.cltr.exc.01,14-03-25,,Carney I
can.1980.002,can.min.labr.soc.exc.01,13-05-25,,Carney I
can.1983.001,can.min.resr.int.exc.01,13-05-25,,Carney I
can.1955.001,can.min.gndm.ops.exc.01,13-05-25,,Carney I
can.1988.001,can.min.spec.ops.exc.01,13-05-25,,Carney I
aus.1963.001,aus.hog,23-05-22,,
aus.1978.001,aus.min.forn.exc.01,23-05-22,,Albanese III
aus.1978.003,aus.min.fisc.exc.01,23-05-22,,Albanese III
aus.1967.001,aus.min.dfns.exc.01,23-05-22,,Albanese III
aus.1971.001,aus.min.jstc.exc.01,13-05-25,,Albanese III
aus.1970.001,aus.min.fisc.ops.exc.01,20-01-25,,Albanese III
aus.1970.002,aus.min.hlth.exc.01,01-06-22,,Albanese III
aus.1970.002,aus.min.hlth.soc.exc.01,13-05-25,,Albanese III
aus.1969.001,aus.min.gndm.exc.01,29-07-24,,Albanese III
aus.1969.001,aus.min.jstc.img.exc.01,29-07-24,,Albanese III
aus.1969.001,aus.min.gndm.dig.exc.01,29-07-25,,Albanese III
aus.1969.001,aus.min.cltr.kns.exc.01,01-06-22,,Albanese III
aus.1973.001,aus.min.resr.eng.exc.01,01-06-22,,Albanese III
aus.1972.001,aus.min.educ.exc.01,01-06-22,,Albanese III
aus.1966.001,aus.min.infr.exc.01,01-06-22,,Albanese III
aus.1985.001,aus.min.infr.cms.exc.01,13-05-25,,Albanese III
aus.1973.002,aus.min.resr.env.exc.01,13-05-25,,Albanese III
aus.1969.002,aus.min.labr.psn.exc.01,13-05-25,,Albanese III
aus.1978.002,aus.min.labr.exc.01,13-05-25,,Albanese III
aus.1970.003,aus.min.spec.int.exc.01,29-07-25,,Albanese III
aus.1980.001,aus.min.hous.exc.01,29-07-24,,Albanese III
