actor_id,surname,given_name,middle_name,birth_year,position_code,position_title,,,,,,
deu.1987.001,Hubertz,Verena,,1987,deu.min.hous.exc.01,"Federal Minister for Housing, Urban Development and Building",,,,,,
deu.1990.001,Alabali-Radovan,Reem,,1990,deu.min.forn.dev.exc.01,Federal Minister for Economic Cooperation and Development,,,,,,
deu.1978.002,Baer,Dorothy,,1978,deu.min.scnc.exc.01,Federal Minister of Education and Research,,,,,,
deu.1969.001,Wildberger,Karsten,,1969,deu.min.spec.int.dig.01,Federal Minister for Digital Transformation and Government Modernization,,,,,,
deu.1973.002,Frei,Thorsten,,1973,deu.min.hog.ops.exc.01,Head of the Federal Chancellery,,,,,,
rus.1952.001,Putin,Vladimir,,1952,rus.hos,President of the Russian Federation,,,,,,
rus.1966.001,Mishustin,Mikhail,,1966,rus.hog,Prime Minister of the Russian Federation,,,,,,
rus.1950.001,Lavrov,Sergey,,1950,rus.min.forn.exc.01,Minister of Foreign Affairs,,,,,,
rus.1959.001,Belousov,Andrey,,1959,rus.min.dfns.exc.01,Minister of Defense,,,,,,
rus.1961.001,Kolokoltsev,Vladimir,,1961,rus.min.gndm.exc.01,Minister of Internal Affairs,,,,,,
rus.1965.001,Chuychenko,Konstantin,,1965,rus.min.jstc.exc.01,Minister of Justice,,,,,,
rus.1972.001,Kurenkov,Alexander,,1972,rus.min.gndm.env.exc.01,Minister of Emergency Situations,,,,,,
rus.1963.001,Siluanov,Anton,,1963,rus.min.fisc.exc.01,Minister of Finance,,,,,,
rus.1979.001,Reshetnikov,Maxim,,1979,rus.min.comc.exc.01,Minister of Economic Development,,,,,,
rus.1986.001,Alikhanov,Anton,,1986,rus.min.trde.exc.01,Minister of Industry and Trade,,,,,,
rus.1961.002,Tsivilyov,Sergey,,1961,rus.min.resr.eng.exc.01,Minister of Energy,,,,,,
rus.1978.001,Falkov,Valery,,1978,rus.min.scnc.exc.01,Minister of Science and Higher Education,,,,,,
rus.1974.001,Kravtsov,Sergey,,1974,rus.min.educ.exc.01,Minister of Education,,,,,,
rus.1967.001,Murashko,Mikhail,,1967,rus.min.hlth.exc.01,Minister of Health,,,,,,
rus.1980.001,Kotyakov,Anton,,1980,rus.min.labr.exc.01,Minister of Labour and Social Protection,,,,,,
rus.1979.004,Lut,Oksana,,1979,rus.min.agrc.exc.01,Minister of Agriculture,,,,,,
rus.1981.001,Kozlov,Alexander,,1981,rus.min.resr.exc.01,Minister of Natural Resources and Environment,,,,,,
rus.1979.002,Nikitin,Andrey,,1979,rus.min.infr.exc.01,Minister of Transport,,,,,,
rus.1962.001,Fayzulin,Irek,,1962,rus.min.hous.exc.01,"Minister of Construction, Housing and Utilities",,,,,,
rus.1980.002,Lyubimova,Olga,,1980,rus.min.cltr.exc.01,Minister of Culture,,,,,,
rus.1981.002,Degtyarev,Mikhail,,1981,rus.min.cltr.ath.exc.01,Minister of Sport,,,,,,
rus.1979.003,Shadayev,Maxut,,1979,rus.min.jstc.dig.exc.01,"Minister of Digital Development, Communications and Mass Media",,,,,,
rus.1980.003,Chekunkov,Aleksey,,1980,rus.min.spec.int.exc.01,Minister for the Development of the Far East and Arctic,,,,,,
esp.1972.002,Sanchez,Pedro,,1972,esp.hog,President of the Government of Spain,,,,,,
esp.1972.001,Albares,Jose Manuel,,1972,esp.min.forn.exc.01,"Minister of Foreign Affairs, European Union and Cooperation",,,,,,
esp.1970.001,Bolanos,Felix,,1970,esp.min.spec.ops.exc.01,"Minister of the Presidency, Justice and Relations with the Cortes",,,,,,
esp.1956.001,Robles,Margarita,,1956,esp.min.dfns.exc.01,Minister of Defence,,,,,,
esp.1962.001,Grande-Marlaska,Fernando,,1962,esp.min.gndm.exc.01,Minister of the Interior,,,,,,
esp.1966.001,Montero,Maria Jesus,,1966,esp.min.fisc.exc.01,Minister of Finance,,,,,,
esp.1968.001,Puente,Oscar,,1968,esp.min.infr.exc.01,Minister of Transport and Sustainable Mobility,,,,,,
esp.1977.001,Alegria,Pilar,,1977,esp.min.educ.exc.01,"Minister of Education, Vocational Training and Sports",,,,,,
esp.1971.001,Diaz,Yolanda,,1971,esp.min.labr.exc.01,Minister of Labour and Social Economy,,,,,,
esp.1965.001,Hereu i Boher,Jordi,,1965,esp.min.comc.exc.01,Minister of Industry and Tourism,,,,,,
esp.1957.001,Planas,Luis,,1957,esp.min.agrc.exc.01,"Minister of Agriculture, Fisheries and Food",,,,,,
esp.1966.002,Torres Perez,Angel Victor,,1966,esp.min.spec.int.exc.01,Minister of Territorial Policy and Democratic Memory,,,,,,
esp.1976.001,Aagesen,Sara,,1976,esp.min.resr.env.exc.01,Minister for the Ecological Transition and the Demographic Challenge,,,,,,
esp.1981.001,Rodriguez Garcia,Isabel,,1981,esp.min.hous.exc.01,Minister of Housing and Urban Agenda,,,,,,
esp.1982.001,Urtasun,Ernest,,1982,esp.min.cltr.exc.01,Minister of Culture,,,,,,
esp.1985.001,Cuerpo,Carlos,,1985,esp.min.trde.exc.01,"Minister of Economy, Trade and Business",,,,,,
esp.1974.001,Garcia Gomez,Monica,,1974,esp.min.hlth.exc.01,Minister of Health,,,,,,
esp.1983.001,Bustinduy,Pablo,,1983,esp.min.labr.soc.01.exc.01,"Minister of Social Rights, Consumer Affairs and Agenda 2030",,,,,,
esp.1980.001,Morant,Diana,,1980,esp.min.scnc.exc.01,"Minister of Science, Innovation and Universities",,,,,,
esp.1960.001,Redondo Garcia,Ana,,1960,esp.min.labr.soc.02.exc.01,Minister of Equality,,,,,,
esp.1975.001,Saiz,Elma,,1975,esp.min.labr.psn.exc.01,"Minister of Inclusion, Social Security and Migrations",,,,,,
esp.1971.002,Lopez Agueda,Oscar,,1973,esp.min.spec.dig.exc.01,Minister of Digital Transformation and of Public Function,,,,,,
esp.1973.002,Rego,Sira,,1973,esp.min.hlth.enf.exc.01,Minister of Youth and Children,,,,,,
tur.1954.001,Erdogan,Recep ,,1954,tur.hos,President of the Republic of Turkiye,,,,,,
tur.1971.001,Tunc,Yilmaz,,1971,tur.min.jstc.exc.01,Minister of Justice,,,,,,
tur.1963.001,Bolat,�mer,,1963,tur.min.trde.exc.01,Minister of Trade,,,,,,
tur.1966.001,Uraloglu,Abdulkadir,,1966,tur.min.infr.exc.01,Minister of Transport and Infrastructure,,,,,,
tur.1982.001,Ozdemir Goktas,Mahinur,,1982,tur.min.labr.soc.exc.01,Minister of Family and Social Services,,,,,,
tur.1966.002,Isikhan,Vedat,,1966,tur.min.labr.exc.01,Minister of Labour and Social Security,,,,,,
tur.1976.001,Kurum,Murat,,1976,tur.min.hous.env.exc.01,"Minister of Environment, Urbanisation and Climate Change",,,,,,
tur.1968.001,Fidan,Hakan,,1968,tur.min.forn.exc.01,Minister of Foreign Affairs,,,,,,
tur.1975.001,Bayraktar,Alparslan,,1975,tur.min.resr.exc.01,Minister of Energy and Natural Resources,,,,,,
tur.1966.003,Bak,Osman Askin,,1966,tur.min.cltr.ath.exc.01,Minister of Youth and Sports,,,,,,
tur.1968.002,Simsek,Mehmet,,1967,tur.min.fisc.exc.01,Minister of Treasury and Finance,,,,,,
tur.1970.001,Yerlikaya,Ali,,1968,tur.min.gndm.exc.01,Minister of Interior,,,,,,
tur.1968.003,Ersoy,Mehmet Nuri,,1968,tur.min.cltr.exc.01,Minister of Culture and Tourism,,,,,,
tur.1970.002,Tekin,Yusuf,,1970,tur.min.educ.exc.01,Minister of National Education,,,,,,
tur.1954.002,Guler,Yasar,,1954,tur.min.dfns .exc.01,Minister of National Defence,,,,,,
tur.1966.004,Memisoglu,Kemal,,1966,tur.min.hlth.exc.01,Minister of Health,,,,,,
tur.1984.001,Kacir,Mehmet,,1984,tur.min.comc.exc.01,Minister of Industry and Technology,,,,,,
tur.1969.001,Yumakli,Ibrahim,,1969,tur.min.agrc.exc.01,Minister of Agriculture and Forestry,,,,,,
